City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp(C),Wind Speed
Fortuna,20,US,1569548205,77,40.6,-124.16,18.33,5.1
Sarkand,99,KZ,1569548205,27,45.41,79.91,17.64,2.71
Iqaluit,90,CA,1569548205,80,63.75,-68.52,4.0,11.8
Dafeng,100,CN,1569548205,52,33.2,120.46,24.54,2.43
Rikitea,39,PF,1569548206,71,-23.12,-134.97,22.14,4.7
Alekseyevsk,100,RU,1569548206,80,57.84,108.35,4.34,5.23
Kodiak,75,US,1569548206,56,39.95,-94.76,21.0,4.1
Te Anau,93,NZ,1569548206,91,-45.41,167.72,6.44,4.64
Kahului,40,US,1569548087,62,20.89,-156.47,31.0,9.3
Ryotsu,0,JP,1569548206,69,38.08,138.43,23.0,4.6
Bredasdorp,13,ZA,1569548207,70,-34.53,20.04,14.44,0.5
Nabire,100,ID,1569548207,93,-3.36,135.5,24.44,1.77
Dikson,99,RU,1569548207,89,73.51,80.55,1.04,6.03
Punta Arenas,0,CL,1569548207,52,-53.16,-70.91,8.0,7.2
Tymovskoye,0,RU,1569548207,39,50.85,142.66,15.94,3.06
Hamilton,40,CA,1569547921,76,43.26,-79.87,16.67,1.5
Chuy,0,UY,1569548208,86,-33.69,-53.46,13.14,3.95
Arica,90,CL,1569548208,77,-18.48,-70.32,16.0,2.1
Grindavik,75,IS,1569548208,87,63.84,-22.43,12.0,2.6
Cape Town,0,ZA,1569548208,67,-33.93,18.42,18.89,2.1
Kurumkan,100,RU,1569548208,82,54.33,110.32,6.84,2.25
Castro,0,CL,1569548208,87,-42.48,-73.76,10.0,1.5
Santa Maria,75,BR,1569548209,94,-16.02,-48.01,20.0,1.0
Bosaso,0,SO,1569548075,82,11.28,49.18,29.24,5.54
Ushuaia,75,AR,1569548200,94,-54.81,-68.31,8.0,3.28
Kavieng,56,PG,1569548209,73,-2.57,150.8,29.14,4.88
San Carlos de Bariloche,0,AR,1569548093,41,-41.13,-71.31,15.0,2.1
Grootfontein,0,NA,1569548209,33,-19.56,18.1,8.34,4.25
Vaini,90,IN,1569548209,88,15.34,74.49,22.0,1.52
Ostrovnoy,100,RU,1569548209,93,68.05,39.51,3.24,4.45
Jamestown,0,AU,1569548209,33,-33.21,138.6,21.84,6.71
Ahmadpur Sial,0,PK,1569548210,74,30.68,71.77,29.0,4.1
Guerrero Negro,0,MX,1569548210,79,27.97,-114.04,19.54,4.24
Mataura,46,NZ,1569547962,77,-46.19,168.86,12.22,6.71
Yumen,0,CN,1569548210,10,40.29,97.04,24.14,2.91
Moose Factory,75,CA,1569548210,81,51.26,-80.61,9.0,2.6
Kukmor,86,RU,1569548210,93,56.19,50.9,1.74,4.0
Santa Cecilia,90,CR,1569548211,100,9.85,-84.31,20.0,2.1
Tiksi,100,RU,1569548211,89,71.64,128.87,1.74,1.19
Albany,20,US,1569548211,87,42.65,-73.75,15.0,3.1
Mar del Plata,100,AR,1569548211,43,-46.43,-67.52,12.84,7.65
San Cristobal,75,HN,1569548211,83,14.68,-86.92,29.0,2.1
Bay Roberts,90,CA,1569548211,100,47.58,-53.28,11.11,6.2
Ribeira Grande,0,PT,1569548212,89,38.52,-28.7,22.24,4.66
Nikolskoye,40,RU,1569548212,81,59.7,30.79,8.33,3.0
Thompson,75,CA,1569548054,69,55.74,-97.86,2.0,2.1
Awjilah,0,LY,1569548212,59,29.14,21.3,21.24,2.96
Torbay,90,CA,1569548212,100,47.66,-52.73,11.11,6.2
Bluff,0,AU,1569548212,31,-23.58,149.07,28.54,3.02
Avarua,100,CK,1569548212,83,-21.21,-159.78,25.0,3.1
Northam,0,AU,1569548212,63,-31.65,116.67,18.0,4.6
Cherskiy,3,RU,1569548213,39,68.75,161.3,4.14,2.8
Hilo,75,US,1569548213,59,19.71,-155.08,32.0,3.6
Hithadhoo,99,MV,1569548213,68,-0.6,73.08,28.54,3.99
Karratha,0,AU,1569548213,15,-20.74,116.85,29.74,4.1
Ilulissat,0,GL,1569548214,35,69.22,-51.1,4.0,4.6
East London,0,ZA,1569548049,17,-33.02,27.91,18.14,2.24
Ylivieska,82,FI,1569548214,93,64.07,24.53,10.0,1.34
Namibe,0,AO,1569548214,86,-15.19,12.15,20.14,1.6
Codrington,6,AU,1569548214,50,-28.95,153.24,27.0,4.1
Nemuro,20,JP,1569548214,42,43.32,145.57,19.0,0.5
Tuktoyaktuk,100,CA,1569548214,81,69.44,-133.03,3.14,11.03
Norman Wells,40,CA,1569548215,60,65.28,-126.83,5.0,4.1
Isugod,0,PH,1569548215,74,9.34,118.12,28.54,1.92
Rawson,41,AR,1569548215,52,-43.3,-65.11,8.84,8.25
Chifeng,32,CN,1569548215,21,42.27,118.96,21.94,3.35
